Player,FG%,FT%,3P%,League
Precious Achiuwa,0.00485,0.007019999999999999,0.00269,NBA
Steven Adams,0.00597,0.00364,0.0,NBA
Bam Adebayo,0.0054,0.008060000000000001,0.00083,NBA
Ochai Agbaji,0.0042699999999999995,0.00812,0.0035499999999999998,NBA
Santi Aldama,0.004699999999999999,0.0075,0.0035299999999999997,NBA
Nickeil Alexander-Walker,0.00444,0.006670000000000001,0.00384,NBA
Nickeil Alexander-Walker,0.00488,0.006919999999999999,0.00402,NBA
Nickeil Alexander-Walker,0.00384,0.00619,0.00361,NBA
Grayson Allen,0.0044,0.00905,0.0039900000000000005,NBA
Jarrett Allen,0.00644,0.00733,0.001,NBA
Jose Alvarado,0.00411,0.00813,0.00336,NBA
Kyle Anderson,0.00509,0.00735,0.0040999999999999995,NBA
Giannis Antetokounmpo,0.00553,0.00645,0.0027500000000000003,NBA
Thanasis Antetokounmpo,0.00435,0.005,0.0,NBA
Cole Anthony,0.00454,0.00894,0.00364,NBA
OG Anunoby,0.0047599999999999995,0.00838,0.00387,NBA
Deni Avdija,0.00437,0.00739,0.00297,NBA
Deandre Ayton,0.005889999999999999,0.0076,0.00292,NBA
Marvin Bagley III,0.00529,0.0075,0.0028799999999999997,NBA
Patrick Baldwin Jr.,0.00394,0.006670000000000001,0.00381,NBA
LaMelo Ball,0.00411,0.00836,0.00376,NBA
Mo Bamba,0.00485,0.00661,0.00387,NBA
Mo Bamba,0.0049499999999999995,0.006860000000000001,0.00398,NBA
Mo Bamba,0.00407,0.00545,0.00313,NBA
Paolo Banchero,0.0042699999999999995,0.00738,0.00298,NBA
Desmond Bane,0.00479,0.00883,0.004079999999999999,NBA
Dalano Banton,0.00423,0.0070799999999999995,0.00294,NBA
Dominick Barlow,0.005350000000000001,0.0072,0.0,NBA
Harrison Barnes,0.00473,0.00847,0.00374,NBA
Scottie Barnes,0.00456,0.00772,0.0028100000000000004,NBA
RJ Barrett,0.00434,0.0074,0.0031,NBA
Will Barton,0.00379,0.00787,0.00367,NBA
Will Barton,0.00386,0.0077800000000000005,0.00377,NBA
Will Barton,0.0035399999999999997,0.01,0.00333,NBA
Charles Bassey,0.00644,0.0059499999999999996,0.00375,NBA
Keita Bates-Diop,0.00508,0.00793,0.00394,NBA
Nicolas Batum,0.0042,0.0070799999999999995,0.00391,NBA
