Player,Team,G,FG%,FT%,3P%,League
A.J. Green,MIL,35.0,0.424,1.0,0.419,NBA
A.J. Lawson,2TM,15.0,0.5,0.25,0.4,NBA
AJ Griffin,ATL,72.0,0.465,0.894,0.39,NBA
Aaron Gordon,DEN,68.0,0.564,0.608,0.347,NBA
Aaron Holiday,ATL,63.0,0.418,0.844,0.409,NBA
Aaron Nesmith,IND,73.0,0.427,0.838,0.366,NBA
Aaron Wiggins,OKC,70.0,0.512,0.831,0.393,NBA
Admiral Schofield,ORL,37.0,0.451,0.913,0.324,NBA
Al Horford,BOS,63.0,0.476,0.714,0.446,NBA
Alec Burks,DET,51.0,0.436,0.814,0.414,NBA
Aleksej Pokusevski,OKC,34.0,0.434,0.629,0.365,NBA
Alex Caruso,CHI,67.0,0.455,0.808,0.364,NBA
Alex Len,SAC,26.0,0.533,0.688,0.0,NBA
Alperen Şengün,HOU,75.0,0.553,0.715,0.333,NBA
Amir Coffey,LAC,50.0,0.386,0.778,0.275,NBA
Andre Drummond,CHI,67.0,0.606,0.536,0.0,NBA
Andrew Nembhard,IND,75.0,0.441,0.79,0.35,NBA
Andrew Wiggins,GSW,37.0,0.473,0.611,0.396,NBA
Anfernee Simons,POR,62.0,0.447,0.894,0.377,NBA
Anthony Davis,LAL,56.0,0.563,0.784,0.257,NBA
Anthony Edwards,MIN,79.0,0.459,0.756,0.369,NBA
Anthony Gill,WAS,59.0,0.538,0.731,0.138,NBA
Anthony Lamb,GSW,62.0,0.471,0.767,0.367,NBA
Austin Reaves,LAL,64.0,0.529,0.864,0.398,NBA
Austin Rivers,MIN,52.0,0.435,0.769,0.35,NBA
Ayo Dosunmu,CHI,80.0,0.493,0.805,0.312,NBA
Bam Adebayo,MIA,75.0,0.54,0.806,0.083,NBA
Ben Simmons,BRK,42.0,0.566,0.439,0.0,NBA
Bennedict Mathurin,IND,78.0,0.434,0.828,0.323,NBA
Bismack Biyombo,PHO,61.0,0.578,0.357,,NBA
Blake Griffin,BOS,41.0,0.485,0.656,0.348,NBA
Blake Wesley,SAS,37.0,0.321,0.591,0.385,NBA
Boban Marjanović,HOU,31.0,0.683,0.741,0.0,NBA
Bobby Portis,MIL,70.0,0.496,0.768,0.37,NBA
Bogdan Bogdanović,ATL,54.0,0.447,0.831,0.406,NBA
Bojan Bogdanović,DET,59.0,0.488,0.884,0.411,NBA
Bol Bol,ORL,70.0,0.546,0.759,0.265,NBA
Bones Hyland,2TM,56.0,0.399,0.843,0.371,NBA
Bradley Beal,WAS,50.0,0.506,0.842,0.365,NBA
Brandon Boston Jr.,LAC,22.0,0.418,0.763,0.414,NBA
Brandon Clarke,MEM,56.0,0.656,0.723,0.167,NBA
Brandon Ingram,NOP,45.0,0.484,0.882,0.39,NBA
Brook Lopez,MIL,78.0,0.531,0.784,0.374,NBA
Bruce Brown,DEN,80.0,0.483,0.758,0.358,NBA
Bruno Fernando,2TM,39.0,0.527,0.7,0.0,NBA
Bryce McGowens,CHO,46.0,0.396,0.75,0.325,NBA
Bryn Forbes,MIN,25.0,0.361,1.0,0.304,NBA
Buddy Boeheim,DET,10.0,0.185,1.0,0.16,NBA
Buddy Hield,IND,80.0,0.458,0.822,0.425,NBA
CJ McCollum,NOP,75.0,0.437,0.769,0.389,NBA
Cade Cunningham,DET,12.0,0.415,0.837,0.279,NBA
Caleb Houstan,ORL,51.0,0.363,0.833,0.338,NBA
Caleb Martin,MIA,71.0,0.464,0.805,0.356,NBA
Cam Reddish,2TM,40.0,0.446,0.853,0.313,NBA
Cam Thomas,BRK,57.0,0.441,0.868,0.383,NBA
Cameron Johnson,2TM,42.0,0.47,0.842,0.404,NBA
Cameron Payne,PHO,48.0,0.415,0.766,0.368,NBA
Caris LeVert,CLE,74.0,0.431,0.722,0.392,NBA
Cedi Osman,CLE,77.0,0.451,0.694,0.372,NBA
Charles Bassey,SAS,35.0,0.644,0.595,0.375,NBA
Chimezie Metu,SAC,66.0,0.589,0.74,0.237,NBA
Chris Boucher,TOR,76.0,0.493,0.762,0.328,NBA
Chris Duarte,IND,46.0,0.369,0.847,0.316,NBA
Chris Paul,PHO,59.0,0.44,0.831,0.375,NBA
Christian Braun,DEN,76.0,0.495,0.625,0.354,NBA
Christian Koloko,TOR,58.0,0.48,0.627,0.083,NBA
Christian Wood,DAL,67.0,0.515,0.772,0.376,NBA
Chuma Okeke,ORL,27.0,0.352,0.762,0.302,NBA
Clint Capela,ATL,65.0,0.653,0.603,0.0,NBA
Coby White,CHI,74.0,0.443,0.871,0.372,NBA
Cody Zeller,MIA,15.0,0.627,0.686,0.0,NBA
Cole Anthony,ORL,60.0,0.454,0.894,0.364,NBA
Collin Sexton,UTA,48.0,0.506,0.819,0.393,NBA
Corey Kispert,WAS,74.0,0.497,0.852,0.424,NBA
Cory Joseph,DET,62.0,0.427,0.792,0.389,NBA
D'Angelo Russell,2TM,71.0,0.469,0.829,0.396,NBA
Daishen Nix,HOU,57.0,0.342,0.667,0.286,NBA
Dalano Banton,TOR,31.0,0.423,0.708,0.294,NBA
Dalen Terry,CHI,38.0,0.444,0.667,0.259,NBA
Damian Jones,2TM,41.0,0.64,0.759,0.588,NBA
Damian Lillard,POR,58.0,0.463,0.914,0.371,NBA
Damion Lee,PHO,74.0,0.442,0.904,0.445,NBA
Daniel Gafford,WAS,78.0,0.732,0.679,,NBA
Danny Green,2TM,11.0,0.449,1.0,0.432,NBA
Danuel House Jr.,PHI,56.0,0.472,0.75,0.336,NBA
Dario Šarić,2TM,57.0,0.458,0.829,0.391,NBA
Darius Bazley,2TM,43.0,0.454,0.543,0.377,NBA
Darius Garland,CLE,69.0,0.462,0.863,0.41,NBA
David Duke Jr.,BRK,23.0,0.462,0.706,0.083,NBA
David Roddy,MEM,70.0,0.429,0.631,0.307,NBA
Davion Mitchell,SAC,80.0,0.454,0.806,0.32,NBA
Davon Reed,2TM,43.0,0.333,0.667,0.37,NBA
Day'Ron Sharpe,BRK,48.0,0.544,0.636,0.545,NBA
De'Aaron Fox,SAC,73.0,0.512,0.78,0.324,NBA
De'Andre Hunter,ATL,67.0,0.461,0.826,0.35,NBA
De'Anthony Melton,PHI,77.0,0.425,0.793,0.39,NBA
DeAndre Jordan,DEN,39.0,0.765,0.458,1.0,NBA
DeMar DeRozan,CHI,74.0,0.504,0.872,0.324,NBA
Dean Wade,CLE,44.0,0.412,0.652,0.354,NBA
Deandre Ayton,PHO,67.0,0.589,0.76,0.292,NBA
Dejounte Murray,ATL,74.0,0.464,0.832,0.344,NBA
Delon Wright,WAS,50.0,0.474,0.867,0.345,NBA
Deni Avdija,WAS,76.0,0.437,0.739,0.297,NBA
Dennis Schröder,LAL,66.0,0.415,0.857,0.329,NBA
Dennis Smith Jr.,CHO,54.0,0.412,0.736,0.216,NBA
Derrick Jones Jr.,CHI,64.0,0.5,0.738,0.338,NBA
Derrick Rose,NYK,27.0,0.384,0.917,0.302,NBA
Derrick White,BOS,82.0,0.462,0.875,0.381,NBA
Desmond Bane,MEM,58.0,0.479,0.883,0.408,NBA
Devin Booker,PHO,53.0,0.494,0.855,0.351,NBA
Devin Vassell,SAS,38.0,0.439,0.78,0.387,NBA
Devonte' Graham,2TM,73.0,0.374,0.748,0.352,NBA
Dewayne Dedmon,2TM,38.0,0.51,0.673,0.308,NBA
Dillon Brooks,MEM,73.0,0.396,0.779,0.326,NBA
Domantas Sabonis,SAC,79.0,0.615,0.742,0.373,NBA
Dominick Barlow,SAS,28.0,0.535,0.72,0.0,NBA
Donovan Mitchell,CLE,68.0,0.484,0.867,0.386,NBA
Donte DiVincenzo,GSW,72.0,0.435,0.817,0.397,NBA
Dorian Finney-Smith,2TM,66.0,0.391,0.763,0.337,NBA
Doug McDermott,SAS,64.0,0.457,0.757,0.413,NBA
Draymond Green,GSW,73.0,0.527,0.713,0.305,NBA
Drew Eubanks,POR,78.0,0.641,0.664,0.389,NBA
Dru Smith,2TM,15.0,0.4,1.0,0.263,NBA
Duane Washington Jr.,PHO,31.0,0.367,0.667,0.36,NBA
Duncan Robinson,MIA,42.0,0.371,0.906,0.328,NBA
Dwight Powell,DAL,76.0,0.732,0.667,0.0,NBA
Dyson Daniels,NOP,59.0,0.418,0.65,0.314,NBA
Dāvis Bertāns,DAL,45.0,0.431,0.867,0.39,NBA
Edmond Sumner,BRK,53.0,0.461,0.917,0.356,NBA
Eric Gordon,2TM,69.0,0.446,0.821,0.371,NBA
Eugene Omoruyi,2TM,40.0,0.443,0.68,0.281,NBA
Evan Fournier,NYK,27.0,0.337,0.857,0.307,NBA
Evan Mobley,CLE,79.0,0.554,0.674,0.216,NBA
Frank Kaminsky,2TM,36.0,0.492,0.875,0.394,NBA
Frank Ntilikina,DAL,47.0,0.364,0.667,0.254,NBA
Franz Wagner,ORL,80.0,0.485,0.842,0.361,NBA
Fred VanVleet,TOR,69.0,0.393,0.898,0.342,NBA
Furkan Korkmaz,PHI,37.0,0.432,0.722,0.391,NBA
Gabe Vincent,MIA,68.0,0.402,0.872,0.334,NBA
