Player,Team,G,FG%,FT%,3P%,League
A'ja Wilson,LVA,40,0.557,0.812,0.31,WNBA
AD Durr,ATL,36,0.38,0.769,0.322,WNBA
Aari McDonald,ATL,24,0.402,0.762,0.321,WNBA
Aerial Powers,MIN,20,0.413,0.917,0.316,WNBA
Alaina Coates,TOT,12,0.833,0.25,,WNBA
Alanna Smith,CHI,38,0.498,0.679,0.294,WNBA
Aliyah Boston,IND,40,0.578,0.745,0.4,WNBA
Allisha Gray,ATL,38,0.465,0.824,0.356,WNBA
Alysha Clark,LVA,39,0.444,0.818,0.386,WNBA
Alyssa Thomas,CON,40,0.474,0.715,0.0,WNBA
Amanda Zahui B.,TOT,34,0.257,0.75,0.162,WNBA
Ariel Atkins,WAS,27,0.414,0.897,0.339,WNBA
Arike Ogunbowale,DAL,40,0.398,0.876,0.343,WNBA
Ashley Joens,TOT,19,0.361,0.5,0.435,WNBA
Awak Kuier,DAL,37,0.396,0.778,0.087,WNBA
Azura Stevens,LAS,35,0.404,0.754,0.321,WNBA
Betnijah Laney-Hamilton,NYL,40,0.499,0.791,0.392,WNBA
Breanna Stewart,NYL,40,0.465,0.851,0.355,WNBA
Brianna Turner,PHO,40,0.65,0.5,,WNBA
Bridget Carleton,MIN,38,0.345,0.733,0.337,WNBA
Brionna Jones,CON,13,0.571,0.776,0.5,WNBA
Brittney Griner,PHO,31,0.56,0.772,0.111,WNBA
Brittney Sykes,WAS,40,0.439,0.797,0.35,WNBA
Candace Parker,LVA,18,0.465,0.893,0.333,WNBA
Cayla George,LVA,32,0.288,0.0,0.234,WNBA
Chelsea Gray,LVA,40,0.49,0.897,0.421,WNBA
Cheyenne Parker-Tyus,ATL,40,0.482,0.829,0.278,WNBA
Chiney Ogwumike,LAS,10,0.43,0.714,0.077,WNBA
Courtney Vandersloot,NYL,39,0.442,0.761,0.294,WNBA
Courtney Williams,CHI,40,0.437,0.6,0.443,WNBA
Crystal Dangerfield,DAL,35,0.425,0.815,0.29,WNBA
Cyesha Goree,WAS,10,0.469,0.857,0.214,WNBA
Dana Evans,CHI,39,0.36,0.854,0.294,WNBA
Danielle Robinson,ATL,32,0.461,0.75,0.29,WNBA
DeWanna Bonner,CON,40,0.425,0.862,0.329,WNBA
Dearica Hamby,LAS,40,0.431,0.648,0.22,WNBA
Destanni Henderson,TOT,15,0.333,0.762,0.125,WNBA
DiJonai Carrington,CON,32,0.417,0.757,0.371,WNBA
Diamond Miller,MIN,32,0.403,0.792,0.307,WNBA
Diana Taurasi,PHO,26,0.403,0.848,0.342,WNBA
Dorka Juhász,MIN,38,0.472,0.54,0.271,WNBA
Dulcy Fankam Mendjiadeu,SEA,34,0.523,0.55,0.0,WNBA
Elena Delle Donne,WAS,23,0.485,0.938,0.393,WNBA
Elizabeth Williams,CHI,40,0.514,0.63,,WNBA
Emily Engstler,MIN,12,0.381,0.375,0.286,WNBA
Emma Cannon,IND,30,0.455,0.909,0.382,WNBA
Epiphanny Prince,NYL,10,0.4,1.0,0.3,WNBA
Erica Wheeler,IND,40,0.398,0.878,0.309,WNBA
Evina Westbrook,TOT,18,0.167,1.0,0.125,WNBA
Ezi Magbegor,SEA,40,0.513,0.699,0.385,WNBA
Gabby Williams,SEA,10,0.362,0.846,0.217,WNBA
Grace Berger,IND,36,0.449,0.84,0.471,WNBA
Haley Jones,ATL,40,0.337,0.756,0.214,WNBA
Iliana Rupert,ATL,20,0.353,0.625,0.273,WNBA
Ivana Dojkić,SEA,23,0.403,0.721,0.418,WNBA
Jackie Young,LVA,40,0.523,0.867,0.449,WNBA
Jade Melbourne,SEA,29,0.391,0.793,0.15,WNBA
Jasmine Dickey,DAL,14,0.382,0.5,0.0,WNBA
Jasmine Thomas,LAS,32,0.273,0.909,0.242,WNBA
Jessica Shepard,MIN,21,0.516,0.774,0.0,WNBA
Jewell Loyd,SEA,38,0.37,0.888,0.356,WNBA
Jocelyn Willoughby,NYL,29,0.4,1.0,0.438,WNBA
Jonquel Jones,NYL,40,0.527,0.863,0.352,WNBA
Jordan Horston,SEA,36,0.367,0.712,0.244,WNBA
Jordin Canada,LAS,38,0.404,0.873,0.333,WNBA
Joyner Holmes,TOT,34,0.373,0.762,0.313,WNBA
Kadi Sissoko,PHO,40,0.371,0.625,0.167,WNBA
Kahleah Copper,CHI,38,0.448,0.77,0.404,WNBA
Kalani Brown,DAL,32,0.629,0.802,0.0,WNBA
Karlie Samuelson,LAS,34,0.463,0.941,0.426,WNBA
Kayla McBride,MIN,38,0.424,0.867,0.342,WNBA
Kayla Thornton,NYL,40,0.433,0.767,0.313,WNBA
Kelsey Mitchell,IND,40,0.441,0.824,0.398,WNBA
Kelsey Plum,LVA,39,0.475,0.912,0.389,WNBA
Kia Nurse,SEA,40,0.343,0.889,0.35,WNBA
Kiah Stokes,LVA,40,0.434,0.5,0.185,WNBA
Kierstan Bell,LVA,36,0.346,0.6,0.244,WNBA
Kristi Toliver,WAS,11,0.333,0.8,0.357,WNBA
Kristine Anigwe,TOT,13,0.417,0.625,0.0,WNBA
Kristy Wallace,IND,37,0.401,0.75,0.435,WNBA
Laeticia Amihere,ATL,21,0.405,0.537,0.0,WNBA
Layshia Clarendon,LAS,24,0.497,0.915,0.457,WNBA
Leigha Brown,CON,25,0.308,0.667,0.1,WNBA
Lexie Brown,LAS,12,0.486,0.875,0.415,WNBA
Lexie Hull,IND,30,0.372,0.773,0.217,WNBA
Li Meng,WAS,34,0.378,0.846,0.364,WNBA
Lindsay Allen,MIN,29,0.399,0.792,0.206,WNBA
Linnae Harper,WAS,14,0.308,,0.364,WNBA
Liz Dixon,TOT,14,0.526,0.875,,WNBA
Maddy Siegrist,DAL,39,0.509,0.931,0.333,WNBA
Marina Mabrey,CHI,39,0.411,0.836,0.39,WNBA
Marine Johannes,NYL,35,0.414,0.75,0.368,WNBA
Maya Caldwell,IND,30,0.292,0.857,0.138,WNBA
Megan Gustafson,PHO,34,0.526,0.806,0.349,WNBA
Mercedes Russell,SEA,37,0.516,0.605,0.0,WNBA
